preset,fake_weight,threshold,cv_macro_f1,cv_accuracy,cv_macro_auc,cv_fake_recall,cv_stage1_acc,n_stage1,n_stage2,stage1_features,stage2_features
all_vs_face,1.0,0.45,0.7151837626169603,0.7171875,0.8657950264677555,0.8575268817204301,0.79375,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,2.0,0.55,0.7150189031543567,0.7171875,0.8654952024451751,0.8548387096774194,0.7921875,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.5,0.55,0.7149300688409183,0.7171875,0.8654105047207109,0.8360215053763441,0.7875,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,1.5,0.55,0.7148660000784451,0.7171875,0.8649461895649591,0.8521505376344086,0.79375,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,1.0,0.5,0.7148085673716996,0.7171875,0.8657950264677555,0.8440860215053764,0.7921875,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,2.0,0.45,0.7118935166478794,0.7125,0.8637645651301256,0.8736559139784946,0.7875,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.0,0.35,0.7115639103778465,0.7125,0.8650061968120027,0.8763440860215054,0.790625,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.0,0.3,0.7104271052973684,0.7109375,0.8650061968120027,0.8978494623655914,0.7890625,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.5,0.45,0.7098489508922468,0.7109375,0.8654105047207109,0.8575268817204301,0.7859375,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,1.5,0.35,0.709470335001109,0.709375,0.8649461895649591,0.8978494623655914,0.7875,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,1.0,0.35,0.7085876967488619,0.709375,0.8657950264677555,0.8790322580645161,0.7859375,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,2.0,0.5,0.7081976929933719,0.709375,0.8654952024451751,0.8629032258064516,0.784375,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
