alpha_3class,fake_threshold,macro_f1,accuracy
0.5,0.4200000000000001,0.7617742148680486,0.7609375
0.5,0.4300000000000001,0.7646638745385848,0.7640625
0.5,0.4400000000000001,0.7645802136368175,0.7640625
0.5,0.4500000000000001,0.7674379397613621,0.7671875
0.5,0.46000000000000013,0.7642969466709971,0.7640625
0.5,0.47000000000000014,0.7642969466709971,0.7640625
0.5,0.48000000000000015,0.7659329710144928,0.765625
0.5,0.49000000000000016,0.7630003439816049,0.7625
0.5,0.5000000000000002,0.764430339948993,0.7640625
0.5,0.5100000000000002,0.7658222630667004,0.765625
0.5,0.5200000000000002,0.7657803958151391,0.765625
0.5,0.5300000000000002,0.7625741183684754,0.7625
0.5,0.5400000000000003,0.7640756053114034,0.7640625
0.5,0.5500000000000003,0.7639302694606943,0.7640625
0.5,0.5600000000000003,0.7605501498194146,0.7609375
0.5,0.5700000000000003,0.7542378995692219,0.7546875
0.5,0.5800000000000003,0.7555514630094461,0.75625
0.5,0.5900000000000003,0.7569488021492322,0.7578125
0.5,0.6000000000000003,0.7613099149698458,0.7625
0.5,0.6100000000000003,0.7627027397776603,0.7640625
0.5,0.6200000000000003,0.7626248699635307,0.7640625
0.5,0.6300000000000003,0.7580470930367561,0.759375
0.5,0.6400000000000003,0.7581232152942357,0.759375
0.5,0.6500000000000004,0.7547349896480332,0.75625
0.5,0.6600000000000004,0.7512764716001695,0.753125
0.5,0.6700000000000004,0.747725681796353,0.75
0.5,0.6800000000000004,0.7490905186668987,0.7515625
0.5,0.6900000000000004,0.7508743027125381,0.753125
0.5,0.7000000000000004,0.7526741291713344,0.7546875
0.55,0.3,0.7426019671957015,0.740625
0.55,0.31,0.7425983217597435,0.740625
0.55,0.32,0.7441614353638032,0.7421875
0.55,0.33,0.7517038026965445,0.75
0.55,0.34,0.7546280712625006,0.753125
0.55,0.35000000000000003,0.7546280712625006,0.753125
0.55,0.36000000000000004,0.7546280712625006,0.753125
0.55,0.37000000000000005,0.75900887049546,0.7578125
0.55,0.38000000000000006,0.7604678123295144,0.759375
0.55,0.39000000000000007,0.7591375570308445,0.7578125
0.55,0.4000000000000001,0.7590798244059922,0.7578125
0.55,0.4100000000000001,0.7648924643548826,0.7640625
0.55,0.4200000000000001,0.7664222766442661,0.765625
0.55,0.4300000000000001,0.7646644185018987,0.7640625
0.55,0.4400000000000001,0.766020833889319,0.765625
0.55,0.4500000000000001,0.7674613177801937,0.7671875
0.55,0.46000000000000013,0.7674379397613621,0.7671875
0.55,0.47000000000000014,0.7659329710144928,0.765625
0.55,0.48000000000000015,0.7661413689132509,0.765625
0.55,0.49000000000000016,0.7675735828968336,0.7671875
0.55,0.5000000000000002,0.765965686139589,0.765625
0.55,0.5100000000000002,0.7612834077552342,0.7609375
0.55,0.5200000000000002,0.7625957740946582,0.7625
0.55,0.5300000000000002,0.762545077806415,0.7625
0.55,0.5400000000000003,0.7640422265682502,0.7640625
0.55,0.5500000000000003,0.7623748811471689,0.7625
0.55,0.5600000000000003,0.762317193207886,0.7625
0.55,0.5700000000000003,0.7587743162375347,0.759375
0.55,0.5800000000000003,0.7556393947455401,0.75625
0.55,0.5900000000000003,0.7584325968412421,0.759375
0.55,0.6000000000000003,0.7584325968412421,0.759375
0.55,0.6100000000000003,0.7585522716767977,0.759375
0.55,0.6200000000000003,0.7585791884600873,0.759375
0.55,0.6300000000000003,0.7615393309234806,0.7625
0.55,0.6400000000000003,0.7550439692286908,0.75625
0.55,0.6500000000000004,0.7564279240941247,0.7578125
0.55,0.6600000000000004,0.7527503335795936,0.7546875
0.55,0.6700000000000004,0.7495416375234969,0.7515625
0.55,0.6800000000000004,0.7495995423340961,0.7515625
0.55,0.6900000000000004,0.7528169800604338,0.7546875
0.55,0.7000000000000004,0.7512548835262319,0.753125
0.6000000000000001,0.3,0.7456712825942567,0.74375
0.6000000000000001,0.31,0.7440775287904501,0.7421875
0.6000000000000001,0.32,0.7440628635804619,0.7421875
